well_id,interval_idx,type,detected_time,actual_type,actual_start,actual_end,status,detail
149г,1,Salt,2025-06-20 15:10:00,Salt,2025-06-20 15:12:00,2025-06-28 02:00:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=14076, train_time=3.8s)"
3244г,1,Salt,2025-11-23 00:54:00,Salt,2025-11-23 00:00:00,2025-12-29 16:00:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=17519, train_time=1.9s)"
3245,1,Salt,2025-04-15 11:16:00,Salt,2025-04-14 16:44:00,2025-05-12 02:00:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=52342, train_time=2.6s)"
3245(2),1,Salt,2025-10-04 10:50:00,Salt,2025-10-04 02:00:00,2025-11-07 02:00:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=46080, train_time=1.9s)"
3269,1,Salt,2025-10-15 04:22:00,Salt,2025-10-15 02:00:00,2025-10-27 11:45:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=11227, train_time=2.0s)"
4039,1,Salt,2025-05-29 14:34:00,Salt,2025-05-29 11:00:00,2025-06-07 15:10:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=125154, train_time=2.7s)"
408,1,Salt,2025-06-03 00:04:00,Salt,2025-06-02 04:40:00,2025-06-26 11:20:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=69046, train_time=2.3s)"
408,2,Salt,2025-07-23 20:30:00,Salt,2025-07-22 19:00:00,2025-08-23 14:44:00,Detected,"PaAno (patch=64, iters=200, channels=27, train_pts=69046, train_time=2.3s)"
