well_id,timestamp,split,score,lof_raw
129л,2025-12-01 02:14:00,test,1.9665932655334473,1.9665932655334473
129л,2025-12-01 02:16:00,test,1.348199725151062,1.348199725151062
129л,2025-12-01 02:18:00,test,1.2429187297821045,1.2429187297821045
129л,2025-12-01 02:20:00,test,1.1486574411392212,1.1486574411392212
129л,2025-12-01 02:22:00,test,1.1988414525985718,1.1988414525985718
129л,2025-12-01 02:24:00,test,1.1677781343460083,1.1677781343460083
129л,2025-12-01 02:26:00,test,1.1856728792190552,1.1856728792190552
129л,2025-12-01 02:28:00,test,1.1056079864501953,1.1056079864501953
129л,2025-12-01 02:30:00,test,1.095706582069397,1.095706582069397
129л,2025-12-01 02:32:00,test,1.1141239404678345,1.1141239404678345
129л,2025-12-01 02:34:00,test,1.0659528970718384,1.0659528970718384
129л,2025-12-01 02:36:00,test,1.0767654180526733,1.0767654180526733
129л,2025-12-01 02:38:00,test,1.0551484823226929,1.0551484823226929
129л,2025-12-01 02:40:00,test,1.0618730783462524,1.0618730783462524
129л,2025-12-01 02:42:00,test,1.0639491081237793,1.0639491081237793
129л,2025-12-01 02:44:00,test,1.0433567762374878,1.0433567762374878
129л,2025-12-01 02:46:00,test,1.0609192848205566,1.0609192848205566
129л,2025-12-01 02:48:00,test,1.0678037405014038,1.0678037405014038
129л,2025-12-01 02:50:00,test,1.0457313060760498,1.0457313060760498
129л,2025-12-01 02:52:00,test,1.0429810285568237,1.0429810285568237
129л,2025-12-01 02:54:00,test,1.0361804962158203,1.0361804962158203
129л,2025-12-01 02:56:00,test,1.052017092704773,1.052017092704773
129л,2025-12-01 02:58:00,test,1.056136965751648,1.056136965751648
129л,2025-12-01 03:00:00,test,1.0471382141113281,1.0471382141113281
129л,2025-12-01 03:02:00,test,1.0410717725753784,1.0410717725753784
129л,2025-12-01 03:04:00,test,1.037908673286438,1.037908673286438
129л,2025-12-01 03:06:00,test,1.0407634973526,1.0407634973526
129л,2025-12-01 03:08:00,test,1.0477352142333984,1.0477352142333984
129л,2025-12-01 03:10:00,test,1.0475441217422485,1.0475441217422485
129л,2025-12-01 03:12:00,test,1.0570570230484009,1.0570570230484009
129л,2025-12-01 03:14:00,test,1.043107509613037,1.043107509613037
129л,2025-12-01 03:16:00,test,1.0379966497421265,1.0379966497421265
129л,2025-12-01 03:18:00,test,1.0702694654464722,1.0702694654464722
129л,2025-12-01 03:20:00,test,1.074666142463684,1.074666142463684
129л,2025-12-01 03:22:00,test,1.1235442161560059,1.1235442161560059
129л,2025-12-01 03:24:00,test,1.1085596084594727,1.1085596084594727
129л,2025-12-01 03:26:00,test,1.108858346939087,1.108858346939087
129л,2025-12-01 03:28:00,test,1.0642809867858887,1.0642809867858887
129л,2025-12-01 03:30:00,test,1.0581344366073608,1.0581344366073608
129л,2025-12-01 03:32:00,test,1.109442949295044,1.109442949295044
129л,2025-12-01 03:34:00,test,1.0710006952285767,1.0710006952285767
129л,2025-12-01 03:36:00,test,1.0462616682052612,1.0462616682052612
129л,2025-12-01 03:38:00,test,1.0134425163269043,1.0134425163269043
129л,2025-12-01 03:40:00,test,1.0114789009094238,1.0114789009094238
129л,2025-12-01 03:42:00,test,1.0180463790893555,1.0180463790893555
129л,2025-12-01 03:44:00,test,0.9971958994865417,0.9971958994865417
129л,2025-12-01 03:46:00,test,1.0032016038894653,1.0032016038894653
129л,2025-12-01 03:48:00,test,0.9931026101112366,0.9931026101112366
129л,2025-12-01 03:50:00,test,0.9895563125610352,0.9895563125610352
129л,2025-12-01 03:52:00,test,0.9906803965568542,0.9906803965568542
129л,2025-12-01 03:54:00,test,0.9899057745933533,0.9899057745933533
129л,2025-12-01 03:56:00,test,0.9908381700515747,0.9908381700515747
129л,2025-12-01 03:58:00,test,0.9931015968322754,0.9931015968322754
129л,2025-12-01 04:00:00,test,0.9942812323570251,0.9942812323570251
129л,2025-12-01 04:02:00,test,0.9969878196716309,0.9969878196716309
129л,2025-12-01 04:04:00,test,0.9944002628326416,0.9944002628326416
129л,2025-12-01 04:06:00,test,0.9977534413337708,0.9977534413337708
129л,2025-12-01 04:08:00,test,0.9926524758338928,0.9926524758338928
129л,2025-12-01 04:10:00,test,0.9887601733207703,0.9887601733207703
