well_id,timestamp,paano_score
3261,2025-10-15 02:16:00,0.011500379
3261,2025-10-15 02:18:00,0.01098009
3261,2025-10-15 02:20:00,0.010308254
3261,2025-10-15 02:22:00,0.009833753
3261,2025-10-15 02:24:00,0.009421524
3261,2025-10-15 02:26:00,0.008964112
3261,2025-10-15 02:28:00,0.008547247
3261,2025-10-15 02:30:00,0.008165489
3261,2025-10-15 02:32:00,0.007819145
3261,2025-10-15 02:34:00,0.007524123
3261,2025-10-15 02:36:00,0.007293297
3261,2025-10-15 02:38:00,0.007136367
3261,2025-10-15 02:40:00,0.007025488
3261,2025-10-15 02:42:00,0.0069460315
3261,2025-10-15 02:44:00,0.0068882895
3261,2025-10-15 02:46:00,0.006827926
3261,2025-10-15 02:48:00,0.006767717
3261,2025-10-15 02:50:00,0.006730061
3261,2025-10-15 02:52:00,0.006672583
3261,2025-10-15 02:54:00,0.006615036
3261,2025-10-15 02:56:00,0.006562481
3261,2025-10-15 02:58:00,0.0065003703
3261,2025-10-15 03:00:00,0.0064263344
3261,2025-10-15 03:02:00,0.006356804
3261,2025-10-15 03:04:00,0.0063078357
3261,2025-10-15 03:06:00,0.006266479
3261,2025-10-15 03:08:00,0.006199488
3261,2025-10-15 03:10:00,0.006132885
3261,2025-10-15 03:12:00,0.0060726297
3261,2025-10-15 03:14:00,0.006013768
3261,2025-10-15 03:16:00,0.0059739947
3261,2025-10-15 03:18:00,0.0059472583
3261,2025-10-15 03:20:00,0.0059480593
3261,2025-10-15 03:22:00,0.0059403316
3261,2025-10-15 03:24:00,0.0059320386
3261,2025-10-15 03:26:00,0.0059274677
3261,2025-10-15 03:28:00,0.005934309
3261,2025-10-15 03:30:00,0.0059529617
3261,2025-10-15 03:32:00,0.0059647313
3261,2025-10-15 03:34:00,0.005984454
3261,2025-10-15 03:36:00,0.0059965327
3261,2025-10-15 03:38:00,0.0060121
3261,2025-10-15 03:40:00,0.0060288385
3261,2025-10-15 03:42:00,0.00604164
3261,2025-10-15 03:44:00,0.006056777
3261,2025-10-15 03:46:00,0.006075309
3261,2025-10-15 03:48:00,0.0060953274
3261,2025-10-15 03:50:00,0.006115893
3261,2025-10-15 03:52:00,0.006136581
3261,2025-10-15 03:54:00,0.0061574713
3261,2025-10-15 03:56:00,0.006190543
3261,2025-10-15 03:58:00,0.0062224013
3261,2025-10-15 04:00:00,0.0062398184
3261,2025-10-15 04:02:00,0.0062579927
3261,2025-10-15 04:04:00,0.0062779556
3261,2025-10-15 04:06:00,0.0062945434
