well_id,detected_time,split
129л,2025-12-14 03:14:00,test
129л,2025-12-14 15:52:00,test
129л,2025-12-15 18:42:00,test
129л,2025-12-17 01:32:00,test
129л,2025-12-30 12:16:00,test
129л,2026-01-06 07:10:00,test
129л,2026-01-08 01:12:00,test
129л,2026-01-08 14:40:00,test
129л,2026-01-11 14:40:00,test
129л,2026-01-12 14:24:00,test
129л,2026-01-13 21:22:00,test
129л,2026-01-14 15:16:00,test
129л,2026-01-15 03:20:00,test
129л,2026-01-15 18:28:00,test
129л,2026-01-16 08:04:00,test
129л,2026-01-17 03:18:00,test
129л,2026-01-17 18:06:00,test
129л,2026-01-18 08:56:00,test
129л,2026-01-20 09:24:00,test
129л,2026-01-21 07:44:00,test
129л,2026-01-21 21:52:00,test
129л,2026-01-22 12:10:00,test
129л,2026-01-24 22:22:00,test
129л,2026-01-25 15:46:00,test
129л,2026-01-26 13:54:00,test
129л,2026-01-27 04:38:00,test
129л,2026-01-28 03:50:00,test
129л,2026-01-29 01:18:00,test
129л,2026-01-29 14:10:00,test
129л,2026-01-30 02:32:00,test
129л,2026-01-30 16:24:00,test
129л,2026-01-31 05:48:00,test
129л,2026-02-01 00:42:00,test
3261,2025-10-09 11:56:00,train
3261,2025-10-11 09:14:00,train
3261,2025-10-13 12:40:00,train
3261,2025-10-14 09:52:00,train
3261,2025-10-15 15:10:00,train
3261,2025-10-16 09:10:00,train
3261,2025-10-17 04:32:00,train
3261,2025-10-19 07:12:00,train
3261,2025-10-20 12:56:00,train
3261,2025-10-21 06:58:00,train
3261,2025-10-21 21:34:00,train
3261,2025-10-22 14:56:00,train
3261,2025-10-23 03:22:00,train
3261,2025-10-23 18:08:00,train
3261,2025-10-24 06:30:00,train
3261,2025-10-24 19:12:00,train
3261,2025-10-25 07:26:00,train
3261,2025-10-25 21:52:00,train
3261,2025-10-26 16:32:00,train
3261,2025-10-27 09:32:00,train
3261,2025-10-28 03:56:00,train
3261,2025-10-28 16:22:00,train
3261,2025-10-29 06:00:00,train
3261,2025-10-29 19:00:00,train
3261,2025-10-30 09:10:00,train
3261,2025-10-30 22:20:00,train
3261,2025-10-31 12:04:00,train
3261,2025-11-01 00:08:00,train
3261,2025-11-01 15:28:00,train
3261,2025-11-02 04:46:00,train
3261,2025-11-02 17:00:00,train
3261,2025-11-03 05:04:00,train
3261,2025-11-03 18:06:00,train
3261,2025-11-04 07:14:00,train
3261,2025-11-04 21:00:00,train
495,2025-09-27 01:16:00,train
495,2025-09-27 16:10:00,train
495,2025-09-28 08:10:00,train
495,2025-09-29 12:18:00,train
495,2025-09-30 01:22:00,train
495,2025-09-30 15:38:00,train
495,2025-10-01 14:58:00,train
495,2025-10-02 03:06:00,train
495,2025-10-02 19:04:00,train
495,2025-10-03 07:30:00,train
495,2025-10-03 20:20:00,train
495,2025-10-04 09:04:00,train
495,2025-10-04 21:34:00,train
495,2025-10-05 10:00:00,train
495,2025-10-05 22:50:00,train
495,2025-10-06 10:54:00,train
495,2025-10-06 23:12:00,train
495,2025-10-07 14:08:00,train
495,2025-10-08 02:44:00,train
495,2025-10-08 23:50:00,train
495,2025-10-09 13:26:00,train
495,2025-10-10 10:52:00,train
495,2025-10-11 01:32:00,train
495,2025-10-11 18:28:00,train
495,2025-10-12 11:16:00,train
495,2025-10-13 12:44:00,train
495,2025-10-14 14:20:00,train
902,2025-10-23 05:44:00,test
902,2025-10-24 04:28:00,test
902,2025-10-24 21:32:00,test
902,2025-10-25 16:42:00,test
902,2025-10-26 05:38:00,test
902,2025-10-26 18:36:00,test
902,2025-10-27 07:04:00,test
902,2025-10-28 01:36:00,test
902,2025-10-28 15:14:00,test
902,2025-10-29 13:30:00,test
902,2025-11-02 01:02:00,test
902,2025-11-04 01:42:00,test
902,2025-11-05 05:28:00,test
902,2025-11-05 18:30:00,test
902,2025-11-06 07:54:00,test
902,2025-11-06 20:36:00,test
902,2025-11-07 09:08:00,test
902,2025-11-08 04:32:00,test
902,2025-11-09 05:48:00,test
902,2025-11-10 00:18:00,test
902,2025-11-10 13:02:00,test
902,2025-11-11 04:56:00,test
902,2025-11-11 17:10:00,test
902,2025-11-12 05:32:00,test
902,2025-11-12 21:20:00,test
902,2025-11-13 09:56:00,test
902,2025-11-13 22:44:00,test
902,2025-11-14 11:54:00,test
902,2025-11-14 23:54:00,test
