well_id,timestamp,split,score,pca_t2,pca_spe,pca_t2_z,pca_spe_z
129л,2025-12-01 02:14:00,test,27.940689086914062,136.12184143066406,409.624267578125,15.627303123474121,12.313385009765625
129л,2025-12-01 02:16:00,test,8.140191078186035,40.926658630371094,235.31936645507812,2.8109569549560547,5.3292341232299805
129л,2025-12-01 02:18:00,test,9.1517333984375,41.11714553833008,259.9245910644531,2.8366026878356934,6.315131187438965
129л,2025-12-01 02:20:00,test,7.153872489929199,42.48996353149414,205.45083618164062,3.021428346633911,4.132444381713867
129л,2025-12-01 02:22:00,test,7.13277006149292,36.951637268066406,223.533203125,2.2757906913757324,4.8569793701171875
129л,2025-12-01 02:24:00,test,7.145345211029053,40.400733947753906,212.25791931152344,2.7401504516601562,4.4051947593688965
129л,2025-12-01 02:26:00,test,7.779000282287598,41.81219482421875,223.32960510253906,2.930178642272949,4.848821640014648
129л,2025-12-01 02:28:00,test,5.909605979919434,35.698890686035156,197.21572875976562,2.107130527496338,3.8024752140045166
129л,2025-12-01 02:30:00,test,5.141074180603027,34.095970153808594,183.4212188720703,1.89132559299469,3.249748706817627
129л,2025-12-01 02:32:00,test,6.180747985839844,38.909610748291016,193.1945037841797,2.5393972396850586,3.641350507736206
129л,2025-12-01 02:34:00,test,5.567541122436523,34.83640670776367,191.5767364501953,1.9910123348236084,3.576528787612915
129л,2025-12-01 02:36:00,test,6.282342433929443,36.94317626953125,202.33734130859375,2.274651527404785,4.007690906524658
129л,2025-12-01 02:38:00,test,2.8702831268310547,26.774028778076172,151.35067749023438,0.9055558443069458,1.9647274017333984
129л,2025-12-01 02:40:00,test,2.7587199211120605,27.017864227294922,147.7470703125,0.938383936882019,1.820335865020752
129л,2025-12-01 02:42:00,test,3.1302709579467773,30.440595626831055,145.5194091796875,1.3991941213607788,1.731076717376709
129л,2025-12-01 02:44:00,test,2.0649285316467285,24.362018585205078,139.35574340820312,0.5808213353157043,1.484107255935669
129л,2025-12-01 02:46:00,test,2.399747133255005,24.91634750366211,145.84930419921875,0.6554519534111023,1.7442951202392578
129л,2025-12-01 02:48:00,test,3.021209239959717,25.585485458374023,159.11093139648438,0.7455394864082336,2.275669813156128
129л,2025-12-01 02:50:00,test,2.225309371948242,24.752426147460938,142.04661560058594,0.6333827972412109,1.5919266939163208
129л,2025-12-01 02:52:00,test,0.9622688293457031,24.2452392578125,112.22882080078125,0.5650990605354309,0.39716973900794983
129л,2025-12-01 02:54:00,test,0.7706949710845947,21.149208068847656,117.85047912597656,0.1482732743024826,0.6224216818809509
129л,2025-12-01 02:56:00,test,1.4762427806854248,23.30524444580078,128.214599609375,0.4385454058647156,1.0376973152160645
129л,2025-12-01 02:58:00,test,2.0032618045806885,23.990795135498047,139.0640411376953,0.530842661857605,1.4724191427230835
129л,2025-12-01 03:00:00,test,1.7745537757873535,24.99234962463379,129.99085998535156,0.6656842827796936,1.1088695526123047
129л,2025-12-01 03:02:00,test,1.6193480491638184,25.166955947875977,125.53067016601562,0.6891919374465942,0.9301561117172241
129л,2025-12-01 03:04:00,test,1.382084846496582,25.017650604248047,120.11091613769531,0.6690906286239624,0.7129942178726196
129л,2025-12-01 03:06:00,test,1.4324126243591309,24.741243362426758,122.29570007324219,0.6318772435188293,0.8005353808403015
129л,2025-12-01 03:08:00,test,2.087986469268799,25.97542953491211,134.51007080078125,0.7980386018753052,1.2899479866027832
129л,2025-12-01 03:10:00,test,2.1344869136810303,29.348777770996094,124.33598327636719,1.2522002458572388,0.8822866678237915
129л,2025-12-01 03:12:00,test,2.4373486042022705,29.708372116088867,130.68630981445312,1.300613284111023,1.1367353200912476
129л,2025-12-01 03:14:00,test,2.1208670139312744,26.480484008789062,133.6336669921875,0.8660352230072021,1.2548317909240723
129л,2025-12-01 03:16:00,test,2.4339258670806885,24.262466430664062,148.89938354492188,0.5674183964729309,1.8665075302124023
129л,2025-12-01 03:18:00,test,2.614802360534668,22.766620635986328,158.43966674804688,0.3660292625427246,2.2487730979919434
129л,2025-12-01 03:20:00,test,2.6927921772003174,21.12021827697754,165.91806030273438,0.14437031745910645,2.548421859741211
129л,2025-12-01 03:22:00,test,4.32464599609375,24.179092407226562,196.36660766601562,0.5561935901641846,3.7684521675109863
129л,2025-12-01 03:24:00,test,3.691991090774536,20.452287673950195,193.09954833984375,0.054445285350084305,3.6375458240509033
129л,2025-12-01 03:26:00,test,3.42305850982666,23.0274600982666,177.73504638671875,0.40114668011665344,3.021911859512329
129л,2025-12-01 03:28:00,test,1.1504749059677124,21.408666610717773,126.4569320678711,0.183204784989357,0.9672700762748718
129л,2025-12-01 03:30:00,test,0.8273959755897522,24.979143142700195,106.39682006835938,0.6639062762260437,0.1634896993637085
129л,2025-12-01 03:32:00,test,1.9319238662719727,28.948768615722656,120.62462615966797,1.1983460187911987,0.7335778474807739
129л,2025-12-01 03:34:00,test,0.98972487449646,30.95931625366211,90.35443878173828,1.469030737876892,-0.4793058931827545
129л,2025-12-01 03:36:00,test,0.20151561498641968,24.761272430419922,91.50865173339844,0.6345738172531128,-0.4330582022666931
129л,2025-12-01 03:38:00,test,-1.2076302766799927,17.066213607788086,82.19606018066406,-0.4014296531677246,-0.8062006235122681
129л,2025-12-01 03:40:00,test,-0.6069180965423584,20.95450210571289,84.12332916259766,0.12205956876277924,-0.7289776802062988
