well_id,detected_time,split
129л,2025-12-14 03:14:00,test
129л,2025-12-14 15:52:00,test
129л,2025-12-15 04:04:00,test
129л,2025-12-15 18:44:00,test
129л,2025-12-17 01:32:00,test
129л,2025-12-30 19:34:00,test
129л,2026-01-08 14:46:00,test
129л,2026-01-12 18:48:00,test
129л,2026-01-16 00:30:00,test
129л,2026-01-16 13:56:00,test
129л,2026-01-17 03:18:00,test
129л,2026-01-17 18:06:00,test
129л,2026-01-18 08:56:00,test
129л,2026-01-20 09:24:00,test
129л,2026-01-21 07:44:00,test
129л,2026-01-21 21:52:00,test
129л,2026-01-22 12:10:00,test
129л,2026-01-24 22:22:00,test
129л,2026-01-25 15:46:00,test
129л,2026-01-26 13:54:00,test
129л,2026-01-27 04:38:00,test
129л,2026-01-28 03:50:00,test
129л,2026-01-29 01:18:00,test
129л,2026-01-29 14:10:00,test
129л,2026-01-30 02:32:00,test
129л,2026-01-30 16:24:00,test
129л,2026-01-31 05:48:00,test
129л,2026-02-01 00:42:00,test
3261,2025-10-09 11:54:00,train
3261,2025-10-11 09:10:00,train
3261,2025-10-13 12:40:00,train
3261,2025-10-14 09:52:00,train
3261,2025-10-15 15:10:00,train
3261,2025-10-16 04:58:00,train
3261,2025-10-16 17:32:00,train
3261,2025-10-17 06:00:00,train
3261,2025-10-17 19:00:00,train
3261,2025-10-18 07:02:00,train
3261,2025-10-18 22:16:00,train
3261,2025-10-19 11:10:00,train
3261,2025-10-20 03:24:00,train
3261,2025-10-20 16:06:00,train
3261,2025-10-21 05:00:00,train
3261,2025-10-21 18:16:00,train
3261,2025-10-22 10:22:00,train
3261,2025-10-22 23:16:00,train
3261,2025-10-23 12:28:00,train
3261,2025-10-24 01:02:00,train
3261,2025-10-24 15:36:00,train
3261,2025-10-25 04:06:00,train
3261,2025-10-25 16:18:00,train
3261,2025-10-26 05:58:00,train
3261,2025-10-26 18:40:00,train
3261,2025-10-27 09:32:00,train
3261,2025-10-28 03:56:00,train
3261,2025-10-28 16:22:00,train
3261,2025-10-29 06:00:00,train
3261,2025-10-29 19:00:00,train
3261,2025-10-30 09:10:00,train
3261,2025-10-30 22:20:00,train
3261,2025-10-31 12:04:00,train
3261,2025-11-01 00:08:00,train
3261,2025-11-01 15:28:00,train
3261,2025-11-02 04:46:00,train
3261,2025-11-02 17:00:00,train
3261,2025-11-03 05:04:00,train
3261,2025-11-03 18:06:00,train
3261,2025-11-04 07:14:00,train
3261,2025-11-04 21:00:00,train
495,2025-09-27 16:20:00,train
495,2025-09-28 17:14:00,train
495,2025-09-29 15:10:00,train
495,2025-09-30 04:22:00,train
495,2025-10-01 02:22:00,train
495,2025-10-01 14:58:00,train
495,2025-10-02 03:12:00,train
495,2025-10-02 17:44:00,train
495,2025-10-03 06:16:00,train
495,2025-10-03 18:34:00,train
495,2025-10-04 07:16:00,train
495,2025-10-04 20:26:00,train
495,2025-10-05 08:48:00,train
495,2025-10-05 21:08:00,train
495,2025-10-06 09:10:00,train
495,2025-10-06 21:10:00,train
495,2025-10-07 09:28:00,train
495,2025-10-08 02:44:00,train
495,2025-10-08 23:50:00,train
495,2025-10-09 13:26:00,train
495,2025-10-10 10:52:00,train
495,2025-10-11 01:32:00,train
495,2025-10-11 18:28:00,train
495,2025-10-12 11:16:00,train
495,2025-10-13 12:44:00,train
495,2025-10-14 14:20:00,train
902,2025-10-23 05:44:00,test
902,2025-10-24 04:28:00,test
902,2025-10-24 21:36:00,test
902,2025-10-25 16:42:00,test
902,2025-10-26 05:38:00,test
902,2025-10-26 18:36:00,test
902,2025-10-27 07:04:00,test
902,2025-10-28 01:38:00,test
902,2025-10-28 15:32:00,test
902,2025-10-29 18:42:00,test
902,2025-11-02 02:22:00,test
902,2025-11-05 05:28:00,test
902,2025-11-05 18:50:00,test
902,2025-11-06 08:06:00,test
902,2025-11-06 20:36:00,test
902,2025-11-07 09:08:00,test
902,2025-11-08 05:10:00,test
902,2025-11-09 06:00:00,test
902,2025-11-10 00:34:00,test
902,2025-11-10 13:04:00,test
902,2025-11-11 04:56:00,test
902,2025-11-11 17:10:00,test
902,2025-11-12 05:32:00,test
902,2025-11-12 21:20:00,test
902,2025-11-13 09:58:00,test
902,2025-11-13 22:56:00,test
902,2025-11-14 11:54:00,test
902,2025-11-15 00:26:00,test
