well_id,start_date,end_date
45085,2021-03-01,2022-01-31
47505,2022-09-01,2023-02-28
42117,2022-12-01,2023-01-31
42483,2021-12-01,2022-12-31
42539,2022-10-01,2023-02-28
42541,2022-09-01,2023-02-28
48008,2022-06-01,2022-12-31
