well_id,timestamp,split,score,paano_short,paano_long,paano_fused
129л,2025-12-01 02:14:00,test,0.023178884759545326,0.028627794235944748,0.0068321628496050835,0.023178884759545326
129л,2025-12-01 02:16:00,test,0.022083871066570282,0.027429362758994102,0.00604739785194397,0.022083871066570282
129л,2025-12-01 02:18:00,test,0.021001078188419342,0.02617812156677246,0.005469951778650284,0.021001078188419342
129л,2025-12-01 02:20:00,test,0.019768429920077324,0.024640237912535667,0.005153005477041006,0.019768429920077324
129л,2025-12-01 02:22:00,test,0.018916398286819458,0.023591825738549232,0.004890112206339836,0.018916398286819458
129л,2025-12-01 02:24:00,test,0.01809711754322052,0.022571364417672157,0.004674375522881746,0.01809711754322052
129л,2025-12-01 02:26:00,test,0.017329387366771698,0.021607505157589912,0.00449503306299448,0.017329387366771698
129л,2025-12-01 02:28:00,test,0.01680934801697731,0.020968858152627945,0.004330811556428671,0.01680934801697731
129л,2025-12-01 02:30:00,test,0.016614846885204315,0.020750783383846283,0.004207037389278412,0.016614846885204315
129л,2025-12-01 02:32:00,test,0.016485271975398064,0.020624367520213127,0.0040679872035980225,0.016485271975398064
129л,2025-12-01 02:34:00,test,0.016263147816061974,0.020369768142700195,0.0039432900957763195,0.016263147816061974
129л,2025-12-01 02:36:00,test,0.01599312759935856,0.020047828555107117,0.0038290221709758043,0.01599312759935856
129л,2025-12-01 02:38:00,test,0.015708623453974724,0.019696606323122978,0.0037446802016347647,0.015708623453974724
129л,2025-12-01 02:40:00,test,0.015440660528838634,0.019364507868885994,0.003669117111712694,0.015440660528838634
129л,2025-12-01 02:42:00,test,0.015149394050240517,0.018999306485056877,0.0035996572114527225,0.015149394050240517
129л,2025-12-01 02:44:00,test,0.014859639108181,0.018629662692546844,0.0035495697520673275,0.014859639108181
129л,2025-12-01 02:46:00,test,0.014574331231415272,0.018259301781654358,0.0035194181837141514,0.014574331231415272
129л,2025-12-01 02:48:00,test,0.01428268849849701,0.01787840574979782,0.003495536744594574,0.01428268849849701
129л,2025-12-01 02:50:00,test,0.01402974221855402,0.017547529190778732,0.003476380603387952,0.01402974221855402
129л,2025-12-01 02:52:00,test,0.013792235404253006,0.017236342653632164,0.00345991482026875,0.013792235404253006
129л,2025-12-01 02:54:00,test,0.013564846478402615,0.01693996973335743,0.003439473919570446,0.013564846478402615
129л,2025-12-01 02:56:00,test,0.01340017281472683,0.016731364652514458,0.0034065977670252323,0.01340017281472683
129л,2025-12-01 02:58:00,test,0.013281070627272129,0.016582731157541275,0.003376089269295335,0.013281070627272129
129л,2025-12-01 03:00:00,test,0.013170597143471241,0.016444405540823936,0.003349174978211522,0.013170597143471241
129л,2025-12-01 03:02:00,test,0.013065648265182972,0.016310924664139748,0.0033298167400062084,0.013065648265182972
129л,2025-12-01 03:04:00,test,0.012965320609509945,0.01618109829723835,0.0033179852180182934,0.012965320609509945
129л,2025-12-01 03:06:00,test,0.012855465523898602,0.016035549342632294,0.003315213369205594,0.012855465523898602
129л,2025-12-01 03:08:00,test,0.01278133038431406,0.01593521609902382,0.0033196737058460712,0.01278133038431406
129л,2025-12-01 03:10:00,test,0.012724814936518669,0.01585538685321808,0.0033330998849123716,0.012724814936518669
129л,2025-12-01 03:12:00,test,0.012669326737523079,0.015776555985212326,0.003347638761624694,0.012669326737523079
129л,2025-12-01 03:14:00,test,0.01259712316095829,0.015674231573939323,0.0033657988533377647,0.01259712316095829
129л,2025-12-01 03:16:00,test,0.01254609227180481,0.015599033795297146,0.0033872686326503754,0.01254609227180481
129л,2025-12-01 03:18:00,test,0.012539169751107693,0.01558582205325365,0.003399211447685957,0.012539169751107693
129л,2025-12-01 03:20:00,test,0.012538363225758076,0.015582118183374405,0.0034070967230945826,0.012538363225758076
