well_id,detected_time,split
129л,2025-12-14 03:16:00,test
129л,2025-12-14 15:52:00,test
129л,2025-12-15 18:46:00,test
129л,2025-12-17 01:34:00,test
129л,2025-12-30 19:36:00,test
129л,2026-01-18 04:10:00,test
129л,2026-01-18 16:32:00,test
129л,2026-01-20 09:24:00,test
129л,2026-01-21 07:44:00,test
129л,2026-01-21 21:52:00,test
129л,2026-01-22 12:10:00,test
129л,2026-01-24 22:22:00,test
129л,2026-01-25 15:46:00,test
129л,2026-01-26 13:54:00,test
129л,2026-01-27 04:38:00,test
129л,2026-01-28 03:50:00,test
129л,2026-01-29 01:18:00,test
129л,2026-01-29 14:10:00,test
129л,2026-01-30 02:32:00,test
129л,2026-01-30 15:24:00,test
129л,2026-01-31 05:48:00,test
129л,2026-02-01 00:42:00,test
3261,2025-10-13 12:40:00,train
3261,2025-10-15 16:22:00,train
3261,2025-10-22 15:22:00,train
3261,2025-10-23 03:22:00,train
3261,2025-10-23 18:10:00,train
3261,2025-10-24 06:30:00,train
3261,2025-10-24 19:12:00,train
3261,2025-10-25 12:30:00,train
3261,2025-10-26 01:36:00,train
3261,2025-10-26 16:32:00,train
3261,2025-10-27 09:32:00,train
3261,2025-10-28 00:38:00,train
3261,2025-10-28 14:02:00,train
3261,2025-10-29 03:18:00,train
3261,2025-10-29 15:32:00,train
3261,2025-10-30 04:42:00,train
3261,2025-10-30 18:08:00,train
3261,2025-10-31 07:32:00,train
3261,2025-10-31 21:16:00,train
3261,2025-11-01 10:32:00,train
3261,2025-11-02 00:06:00,train
3261,2025-11-02 12:52:00,train
3261,2025-11-03 01:38:00,train
3261,2025-11-03 14:30:00,train
3261,2025-11-04 05:00:00,train
3261,2025-11-04 17:18:00,train
495,2025-09-29 21:10:00,train
495,2025-09-30 09:46:00,train
495,2025-10-01 02:22:00,train
495,2025-10-01 14:58:00,train
495,2025-10-04 07:16:00,train
495,2025-10-05 14:36:00,train
495,2025-10-08 09:52:00,train
495,2025-10-08 23:50:00,train
495,2025-10-09 13:26:00,train
495,2025-10-10 10:52:00,train
495,2025-10-11 01:32:00,train
495,2025-10-11 18:28:00,train
495,2025-10-12 11:16:00,train
495,2025-10-13 12:44:00,train
495,2025-10-14 14:20:00,train
902,2025-10-23 15:34:00,test
902,2025-10-24 04:28:00,test
902,2025-10-26 23:24:00,test
902,2025-10-28 15:36:00,test
902,2025-11-04 10:24:00,test
902,2025-11-06 01:22:00,test
902,2025-11-09 05:48:00,test
902,2025-11-10 08:56:00,test
902,2025-11-11 06:50:00,test
902,2025-11-12 21:20:00,test
