well_id,timestamp,split,score,iforest_raw
129л,2025-12-01 02:14:00,test,0.4508005380630493,0.4508005380630493
129л,2025-12-01 02:16:00,test,0.45766639709472656,0.45766639709472656
129л,2025-12-01 02:18:00,test,0.46941426396369934,0.46941426396369934
129л,2025-12-01 02:20:00,test,0.4552876055240631,0.4552876055240631
129л,2025-12-01 02:22:00,test,0.47481849789619446,0.47481849789619446
129л,2025-12-01 02:24:00,test,0.4689205586910248,0.4689205586910248
129л,2025-12-01 02:26:00,test,0.46045804023742676,0.46045804023742676
129л,2025-12-01 02:28:00,test,0.4611973762512207,0.4611973762512207
129л,2025-12-01 02:30:00,test,0.44850781559944153,0.44850781559944153
129л,2025-12-01 02:32:00,test,0.4531448185443878,0.4531448185443878
129л,2025-12-01 02:34:00,test,0.4476289451122284,0.4476289451122284
129л,2025-12-01 02:36:00,test,0.44147413969039917,0.44147413969039917
129л,2025-12-01 02:38:00,test,0.42870116233825684,0.42870116233825684
129л,2025-12-01 02:40:00,test,0.44127601385116577,0.44127601385116577
129л,2025-12-01 02:42:00,test,0.4323209226131439,0.4323209226131439
129л,2025-12-01 02:44:00,test,0.4227010905742645,0.4227010905742645
129л,2025-12-01 02:46:00,test,0.42402276396751404,0.42402276396751404
129л,2025-12-01 02:48:00,test,0.42438504099845886,0.42438504099845886
129л,2025-12-01 02:50:00,test,0.41996437311172485,0.41996437311172485
129л,2025-12-01 02:52:00,test,0.4140872359275818,0.4140872359275818
129л,2025-12-01 02:54:00,test,0.4146158993244171,0.4146158993244171
129л,2025-12-01 02:56:00,test,0.41417330503463745,0.41417330503463745
129л,2025-12-01 02:58:00,test,0.4259881377220154,0.4259881377220154
129л,2025-12-01 03:00:00,test,0.423520565032959,0.423520565032959
129л,2025-12-01 03:02:00,test,0.41451284289360046,0.41451284289360046
129л,2025-12-01 03:04:00,test,0.4163338541984558,0.4163338541984558
129л,2025-12-01 03:06:00,test,0.41636228561401367,0.41636228561401367
129л,2025-12-01 03:08:00,test,0.4232707619667053,0.4232707619667053
129л,2025-12-01 03:10:00,test,0.4336687922477722,0.4336687922477722
129л,2025-12-01 03:12:00,test,0.4330911934375763,0.4330911934375763
129л,2025-12-01 03:14:00,test,0.4352444112300873,0.4352444112300873
129л,2025-12-01 03:16:00,test,0.4424434304237366,0.4424434304237366
129л,2025-12-01 03:18:00,test,0.4451550245285034,0.4451550245285034
129л,2025-12-01 03:20:00,test,0.4441017806529999,0.4441017806529999
129л,2025-12-01 03:22:00,test,0.43928083777427673,0.43928083777427673
129л,2025-12-01 03:24:00,test,0.4369240701198578,0.4369240701198578
129л,2025-12-01 03:26:00,test,0.4338587522506714,0.4338587522506714
129л,2025-12-01 03:28:00,test,0.4253067076206207,0.4253067076206207
129л,2025-12-01 03:30:00,test,0.4283091127872467,0.4283091127872467
129л,2025-12-01 03:32:00,test,0.4534658193588257,0.4534658193588257
129л,2025-12-01 03:34:00,test,0.46073082089424133,0.46073082089424133
129л,2025-12-01 03:36:00,test,0.4090689420700073,0.4090689420700073
129л,2025-12-01 03:38:00,test,0.414926677942276,0.414926677942276
129л,2025-12-01 03:40:00,test,0.41436824202537537,0.41436824202537537
129л,2025-12-01 03:42:00,test,0.41189372539520264,0.41189372539520264
129л,2025-12-01 03:44:00,test,0.4078425467014313,0.4078425467014313
129л,2025-12-01 03:46:00,test,0.41314584016799927,0.41314584016799927
129л,2025-12-01 03:48:00,test,0.40477901697158813,0.40477901697158813
129л,2025-12-01 03:50:00,test,0.39802315831184387,0.39802315831184387
129л,2025-12-01 03:52:00,test,0.4001595377922058,0.4001595377922058
129л,2025-12-01 03:54:00,test,0.39240121841430664,0.39240121841430664
129л,2025-12-01 03:56:00,test,0.3985321521759033,0.3985321521759033
129л,2025-12-01 03:58:00,test,0.4114336669445038,0.4114336669445038
129л,2025-12-01 04:00:00,test,0.40719226002693176,0.40719226002693176
129л,2025-12-01 04:02:00,test,0.411211222410202,0.411211222410202
129л,2025-12-01 04:04:00,test,0.3981037437915802,0.3981037437915802
129л,2025-12-01 04:06:00,test,0.40065863728523254,0.40065863728523254
129л,2025-12-01 04:08:00,test,0.40711671113967896,0.40711671113967896
129л,2025-12-01 04:10:00,test,0.4020589292049408,0.4020589292049408
129л,2025-12-01 04:12:00,test,0.40295982360839844,0.40295982360839844
129л,2025-12-01 04:14:00,test,0.40020039677619934,0.40020039677619934
129л,2025-12-01 04:16:00,test,0.40400534868240356,0.40400534868240356
129л,2025-12-01 04:18:00,test,0.3976283669471741,0.3976283669471741
129л,2025-12-01 04:20:00,test,0.40927979350090027,0.40927979350090027
129л,2025-12-01 04:22:00,test,0.4023301303386688,0.4023301303386688
129л,2025-12-01 04:24:00,test,0.4098389148712158,0.4098389148712158
129л,2025-12-01 04:26:00,test,0.4074620008468628,0.4074620008468628
129л,2025-12-01 04:28:00,test,0.4159126281738281,0.4159126281738281
129л,2025-12-01 04:30:00,test,0.41517987847328186,0.41517987847328186
129л,2025-12-01 04:32:00,test,0.41259780526161194,0.41259780526161194
129л,2025-12-01 04:34:00,test,0.425373375415802,0.425373375415802
129л,2025-12-01 04:36:00,test,0.4245717525482178,0.4245717525482178
129л,2025-12-01 04:38:00,test,0.4223620593547821,0.4223620593547821
129л,2025-12-01 04:40:00,test,0.42350009083747864,0.42350009083747864
129л,2025-12-01 04:42:00,test,0.4179007411003113,0.4179007411003113
129л,2025-12-01 04:44:00,test,0.42884916067123413,0.42884916067123413
129л,2025-12-01 04:46:00,test,0.427192360162735,0.427192360162735
129л,2025-12-01 04:48:00,test,0.4220920503139496,0.4220920503139496
129л,2025-12-01 04:50:00,test,0.4187251329421997,0.4187251329421997
129л,2025-12-01 04:52:00,test,0.4223307967185974,0.4223307967185974
129л,2025-12-01 04:54:00,test,0.42401427030563354,0.42401427030563354
129л,2025-12-01 04:56:00,test,0.41985559463500977,0.41985559463500977
129л,2025-12-01 04:58:00,test,0.4326499402523041,0.4326499402523041
129л,2025-12-01 05:00:00,test,0.4357874095439911,0.4357874095439911
129л,2025-12-01 05:02:00,test,0.4425579607486725,0.4425579607486725
129л,2025-12-01 05:04:00,test,0.4421234130859375,0.4421234130859375
129л,2025-12-01 05:06:00,test,0.4431022107601166,0.4431022107601166
129л,2025-12-01 05:08:00,test,0.4389558434486389,0.4389558434486389
129л,2025-12-01 05:10:00,test,0.446455180644989,0.446455180644989
129л,2025-12-01 05:12:00,test,0.44862696528434753,0.44862696528434753
129л,2025-12-01 05:14:00,test,0.4500894546508789,0.4500894546508789
129л,2025-12-01 05:16:00,test,0.43701791763305664,0.43701791763305664
129л,2025-12-01 05:18:00,test,0.4263615906238556,0.4263615906238556
129л,2025-12-01 05:20:00,test,0.4369206726551056,0.4369206726551056
129л,2025-12-01 05:22:00,test,0.4311355650424957,0.4311355650424957
129л,2025-12-01 05:24:00,test,0.4355807900428772,0.4355807900428772
129л,2025-12-01 05:26:00,test,0.4098736047744751,0.4098736047744751
129л,2025-12-01 05:28:00,test,0.4188707172870636,0.4188707172870636
129л,2025-12-01 05:30:00,test,0.41426417231559753,0.41426417231559753
129л,2025-12-01 05:32:00,test,0.43879833817481995,0.43879833817481995
129л,2025-12-01 05:34:00,test,0.42896413803100586,0.42896413803100586
129л,2025-12-01 05:36:00,test,0.4534728229045868,0.4534728229045868
129л,2025-12-01 05:38:00,test,0.41758617758750916,0.41758617758750916
129л,2025-12-01 05:40:00,test,0.4462856352329254,0.4462856352329254
129л,2025-12-01 05:42:00,test,0.428080290555954,0.428080290555954
129л,2025-12-01 05:44:00,test,0.41237321496009827,0.41237321496009827
129л,2025-12-01 05:46:00,test,0.4156067967414856,0.4156067967414856
129л,2025-12-01 05:48:00,test,0.42849770188331604,0.42849770188331604
129л,2025-12-01 05:50:00,test,0.41331762075424194,0.41331762075424194
129л,2025-12-01 05:52:00,test,0.42505452036857605,0.42505452036857605
129л,2025-12-01 05:54:00,test,0.4178372621536255,0.4178372621536255
