well_id,detected_time,split
129л,2025-12-17 03:26:00,test
129л,2025-12-22 13:48:00,test
129л,2025-12-30 11:00:00,test
129л,2026-01-07 15:04:00,test
129л,2026-01-09 10:38:00,test
129л,2026-01-14 19:14:00,test
129л,2026-01-15 18:28:00,test
129л,2026-01-18 13:44:00,test
129л,2026-01-26 15:40:00,test
129л,2026-01-27 10:26:00,test
129л,2026-01-31 05:48:00,test
129л,2026-02-01 01:22:00,test
3261,2025-10-11 12:48:00,train
3261,2025-10-12 14:42:00,train
3261,2025-10-14 09:56:00,train
3261,2025-10-18 01:14:00,train
3261,2025-10-20 12:30:00,train
3261,2025-10-23 21:26:00,train
3261,2025-10-24 23:14:00,train
3261,2025-10-27 13:26:00,train
3261,2025-10-28 11:14:00,train
3261,2025-10-29 06:00:00,train
3261,2025-11-01 15:28:00,train
495,2025-09-27 03:30:00,train
495,2025-09-27 18:22:00,train
495,2025-09-28 12:28:00,train
495,2025-09-29 21:10:00,train
495,2025-10-01 14:58:00,train
495,2025-10-02 16:24:00,train
495,2025-10-03 07:18:00,train
495,2025-10-04 11:28:00,train
495,2025-10-05 10:46:00,train
495,2025-10-06 11:28:00,train
495,2025-10-07 01:30:00,train
495,2025-10-07 14:50:00,train
495,2025-10-08 08:32:00,train
495,2025-10-08 20:46:00,train
495,2025-10-09 16:08:00,train
495,2025-10-10 20:20:00,train
495,2025-10-12 06:44:00,train
495,2025-10-12 20:28:00,train
495,2025-10-13 09:24:00,train
495,2025-10-14 06:12:00,train
495,2025-10-14 21:12:00,train
495,2025-10-15 12:46:00,train
495,2025-10-16 02:58:00,train
495,2025-10-16 17:04:00,train
