well_id,detected_time,split
129л,2025-12-16 09:28:00,test
129л,2025-12-30 12:10:00,test
129л,2026-01-23 04:04:00,test
129л,2026-01-26 20:46:00,test
129л,2026-01-30 10:20:00,test
3261,2025-10-08 09:34:00,train
3261,2025-10-13 12:40:00,train
3261,2025-10-14 09:58:00,train
3261,2025-10-15 15:18:00,train
3261,2025-10-16 09:10:00,train
3261,2025-10-23 23:30:00,train
3261,2025-10-26 06:16:00,train
3261,2025-10-27 09:42:00,train
3261,2025-11-01 00:08:00,train
495,2025-09-28 09:26:00,train
495,2025-09-30 04:24:00,train
495,2025-10-01 16:36:00,train
495,2025-10-03 09:34:00,train
495,2025-10-04 08:12:00,train
495,2025-10-05 02:46:00,train
495,2025-10-06 01:38:00,train
495,2025-10-06 18:12:00,train
495,2025-10-07 14:18:00,train
495,2025-10-08 15:44:00,train
495,2025-10-09 13:32:00,train
495,2025-10-12 14:28:00,train
495,2025-10-13 06:00:00,train
495,2025-10-13 21:56:00,train
495,2025-10-15 02:08:00,train
495,2025-10-15 16:28:00,train
495,2025-10-16 06:42:00,train
902,2025-10-23 15:34:00,test
902,2025-11-07 19:28:00,test
902,2025-11-10 00:32:00,test
902,2025-11-10 18:26:00,test
902,2025-11-12 03:10:00,test
