well_id,timestamp,split,score,tranad_recon
129л,2025-12-01 05:14:00,test,0.6542356014251709,0.6542356014251709
129л,2025-12-01 05:16:00,test,0.6411257982254028,0.6411257982254028
129л,2025-12-01 05:18:00,test,0.6314263939857483,0.6314263939857483
129л,2025-12-01 05:20:00,test,0.6876227259635925,0.6876227259635925
129л,2025-12-01 05:22:00,test,0.7214187383651733,0.7214187383651733
129л,2025-12-01 05:24:00,test,0.6113564968109131,0.6113564968109131
129л,2025-12-01 05:26:00,test,0.4701187014579773,0.4701187014579773
129л,2025-12-01 05:28:00,test,0.4547888934612274,0.4547888934612274
129л,2025-12-01 05:30:00,test,0.44737985730171204,0.44737985730171204
129л,2025-12-01 05:32:00,test,0.4672362506389618,0.4672362506389618
129л,2025-12-01 05:34:00,test,0.43809419870376587,0.43809419870376587
129л,2025-12-01 05:36:00,test,0.6002084016799927,0.6002084016799927
129л,2025-12-01 05:38:00,test,0.5029211044311523,0.5029211044311523
129л,2025-12-01 05:40:00,test,0.41572168469429016,0.41572168469429016
129л,2025-12-01 05:42:00,test,0.542597770690918,0.542597770690918
129л,2025-12-01 05:44:00,test,0.4733322262763977,0.4733322262763977
129л,2025-12-01 05:46:00,test,0.44374099373817444,0.44374099373817444
129л,2025-12-01 05:48:00,test,0.42108261585235596,0.42108261585235596
129л,2025-12-01 05:50:00,test,0.5062853693962097,0.5062853693962097
129л,2025-12-01 05:52:00,test,0.5529208779335022,0.5529208779335022
129л,2025-12-01 05:54:00,test,0.5999048948287964,0.5999048948287964
129л,2025-12-01 05:56:00,test,0.6198868155479431,0.6198868155479431
129л,2025-12-01 05:58:00,test,0.602629542350769,0.602629542350769
129л,2025-12-01 06:00:00,test,0.6510846614837646,0.6510846614837646
129л,2025-12-01 06:02:00,test,0.6572635173797607,0.6572635173797607
129л,2025-12-01 06:04:00,test,0.6318627595901489,0.6318627595901489
129л,2025-12-01 06:06:00,test,0.6708055138587952,0.6708055138587952
129л,2025-12-01 06:08:00,test,0.6214756965637207,0.6214756965637207
129л,2025-12-01 06:10:00,test,0.5732546448707581,0.5732546448707581
